public_date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLD,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
1977-09-30,-0.026568,-0.026777,-0.050307,-0.048365,-0.039356,-0.040606,0.011253,-0.027910,-0.024505,-0.036088,-0.077787,-0.016713,-0.062629,-0.038395,-0.021563,-0.041945,-0.034348,-0.047707,-0.043594,-0.025055,-0.056307,-0.041166,-0.098649,-0.038287,-0.050817,-0.054740,-0.016014,-0.047810,-0.035299,0.004273,-0.037623,-0.034267,-0.022310,-0.045334,-0.018823,-0.032261,-0.028743,-0.016879,-0.064835,-0.043268,-0.046076,-0.021412,-0.028224,-0.050435,-0.033789,-0.040942,-0.040046,-0.031398,-0.033677
1977-10-31,0.074123,0.128160,0.020646,0.049924,0.029289,0.080315,0.089680,0.033979,0.084519,0.026416,0.031352,0.084522,0.045762,0.053092,0.053203,0.065297,0.039989,0.061068,0.032595,0.077153,0.039145,0.054011,0.019472,0.082381,0.056881,0.068520,0.066810,0.076494,0.084584,0.070397,0.008153,0.036223,0.120367,0.051244,0.082845,0.045029,0.055041,0.055299,0.080116,0.018851,0.036255,0.038588,0.048792,0.027429,0.092351,0.058276,0.081343,0.042992,0.062352
1977-11-30,0.019145,-0.023548,-0.010320,-0.012329,0.012917,-0.007855,0.029240,0.023362,0.041751,0.011497,0.016641,0.005856,-0.000242,0.011062,0.008344,-0.002184,0.004460,-0.000058,-0.008694,0.071032,0.028117,-0.012926,0.000685,0.131928,-0.006402,0.003472,-0.006687,0.004495,0.022222,0.005178,0.019601,0.018727,0.037752,0.003501,0.011235,0.004373,-0.021679,0.011469,0.049145,0.001363,-0.012483,0.036689,0.027738,0.018019,-0.000042,0.014818,0.007290,-0.002614,0.020576
1977-12-31,-0.082509,-0.021427,-0.065411,-0.047580,-0.030798,-0.057721,-0.083487,-0.066211,-0.075912,-0.059507,-0.043044,-0.042001,-0.071103,-0.088646,-0.024352,-0.063740,-0.033251,-0.052941,-0.060500,-0.064457,0.002966,0.010747,-0.079049,-0.031546,-0.067358,-0.079844,-0.054479,-0.066497,-0.078323,-0.000306,-0.024532,-0.071679,-0.045453,-0.058762,-0.056559,-0.018475,-0.072216,-0.045091,-0.033198,-0.048208,-0.038910,-0.034032,-0.014548,-0.049022,-0.050221,-0.030710,-0.023703,-0.045114,-0.053997
1978-01-31,0.028410,-0.037053,0.012143,-0.006969,-0.020906,-0.023315,-0.015653,-0.016275,0.004681,-0.037269,-0.039415,0.020461,0.008826,-0.031772,-0.041962,-0.006014,0.032643,-0.011683,0.006129,0.017645,-0.056558,0.012981,-0.053712,0.032779,-0.007505,0.000958,-0.013254,-0.003533,0.048077,-0.033880,-0.056119,-0.013194,0.029981,-0.029310,-0.007749,0.008861,-0.011417,0.008941,-0.003082,-0.026157,-0.000086,-0.043178,-0.009939,0.040788,0.010590,-0.022522,-0.007122,-0.003595,0.002669
1978-02-28,0.086086,0.045905,0.057256,0.056239,0.058314,0.068017,0.102159,0.045745,0.070875,0.043555,0.094327,0.071074,0.055395,-0.007106,0.036823,0.058443,0.054944,0.067277,0.019932,0.160857,0.034447,0.065159,0.017856,0.062640,0.013723,0.049278,0.055993,0.035184,0.070032,0.035081,0.130908,0.021427,0.119360,0.017170,0.101423,0.097717,0.018096,0.045568,0.094614,0.034593,0.051832,-0.051442,0.063450,0.029379,0.081171,0.031738,0.025881,0.021440,0.057635
1978-03-31,0.148656,0.040070,0.077215,0.093452,0.086335,0.101545,0.087548,0.062989,0.089149,0.101896,0.152557,0.072878,0.117939,0.058860,0.095951,0.123388,0.059867,0.114964,0.051058,0.120520,0.014186,0.089239,0.180565,0.051583,0.109916,0.101577,0.114561,0.111544,0.113455,0.095281,0.021797,0.067251,0.058603,0.123237,0.085249,0.067168,0.117254,0.097078,0.117219,0.115708,0.109737,0.134142,0.097452,0.040353,0.076365,0.102555,0.074291,0.001409,0.076192
1978-04-30,0.084369,0.119473,-0.012410,0.006508,0.049179,0.028661,0.047792,0.040034,0.083463,0.011519,0.070200,0.050482,0.038448,-0.009465,0.051862,0.021850,0.091334,0.005148,0.033645,0.068149,0.097358,0.026130,0.078550,0.050719,0.031829,0.017336,0.064562,0.048091,0.077296,0.018031,0.075923,0.012207,0.073619,0.029365,0.063695,0.074774,-0.003406,0.026314,0.012780,0.042635,0.051496,-0.008949,0.057269,-0.000936,0.112543,0.008272,0.039901,0.007862,0.063522
1978-05-31,0.027210,-0.007799,-0.025071,-0.011580,-0.011213,-0.005841,-0.009221,-0.003576,-0.022413,-0.016055,0.006210,-0.034342,0.013258,-0.059374,0.012374,-0.016821,0.034488,-0.047429,0.014652,0.052207,-0.055293,-0.011579,-0.012004,0.038271,-0.007516,0.011517,-0.012422,-0.015124,0.000017,-0.009224,-0.067509,-0.038249,-0.047166,-0.010175,0.017826,-0.002162,-0.022099,-0.017528,0.064429,-0.007584,-0.014508,-0.001935,-0.048016,-0.013422,-0.045869,-0.012796,-0.010843,0.008420,-0.020670
1978-06-30,0.128638,0.022990,0.035052,0.052867,0.049651,0.093131,0.064358,0.050953,0.066835,0.059979,0.103722,0.016940,0.063162,-0.011550,0.081083,0.055823,0.039282,0.094633,0.020686,0.063828,0.098387,0.112678,0.120243,0.128833,0.060921,0.051947,0.092059,0.061647,0.068761,0.061377,0.054784,0.034844,0.106703,0.099775,0.061540,0.064649,0.054259,0.076511,0.048835,0.081476,0.025860,0.094582,0.095531,0.022457,0.093528,0.099866,0.024461,0.027624,0.037606
