public_date,port_me,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
04-30-1976,0,391,0.2330262023,-0.001640595,-0.015411596,,0.0023375653,-0.000152638,-0.000031181,0.008374227,-0.083647945,-0.00691536,-0.013604092,-0.246090731,-0.010986011,0.0216340094,0.000143543,,1880.136972,0.0024501305,0.9208053341,0.0115176841
04-30-1976,1,390,0.4329234954,0.0075086513,0.0764987816,,0.0019002534,-0.000028022,0.0001191548,0.0076796926,-0.038785135,-0.004033828,-0.006330512,-0.462803844,0.006262877,0.0079682038,0.0001145385,,3886.3834599,0.001906659,1.1455789849,0.0053774723
04-30-1976,2,390,0.4826766839,0.0061906635,0.138409669,,0.0017689873,0.0000287715,0.0001475825,0.0071369948,-0.011336588,-0.007450277,-0.000918161,-0.428497091,0.0154281589,0.0261427532,0.0001069772,,6826.6758126,0.0017102345,1.1027935988,0.0262879151
04-30-1976,3,389,0.5660148062,0.0054167595,0.0868625702,,0.0016701551,0.0000738017,0.0001642423,0.0062334733,0.0031112163,-0.002692063,0.003644161,-0.175575607,0.022977134,0.0267954213,0.0000869305,,10977.452222,0.0012732553,1.0670270881,0.0033017118
04-30-1976,4,391,0.5391277568,0.00311378,0.0361573069,,0.0014860444,0.0000643516,0.0001652036,0.0058072797,0.0233840128,-0.002827129,0.0022931651,0.0308291003,0.021630273,0.0329040343,0.0000797966,,17459.035038,0.0010685622,1.1894828193,0.027295767
04-30-1976,5,390,0.5626292887,0.0032310705,0.055397598,,0.001415372,0.0000968415,0.0002012493,0.004801926,0.0449672596,0.0057711577,0.0053327514,-0.110453398,0.027914637,0.0510394585,0.0000778564,,28496.353715,0.0008919172,1.4955198252,0.0271485102
04-30-1976,6,390,0.4853791719,0.0017204784,0.0497640881,,0.0012965474,0.0001060688,0.0001786621,0.0038321267,0.0561163089,0.0081692593,0.005471503,0.0861215111,0.0279123932,0.0518255823,0.0000716984,,50150.222662,0.0006916185,1.3400620969,0.0185210994
04-30-1976,7,389,0.4540302614,0.0022813204,0.0509634118,,0.0012145171,0.0001150896,0.0001868471,0.0034417411,0.0766199049,0.0189611169,0.0032899681,0.1388117977,0.0312031854,0.052034437,0.0000614772,,95767.353962,0.000594618,1.3621625393,0.020224508
04-30-1976,8,391,0.3919652781,0.0017027316,0.0341545035,,0.0010069668,0.0001050612,0.0001754177,0.0024394363,0.1004081684,0.0253705202,0.0059576709,0.0878803392,0.0356375615,0.0538948473,0.000046402,,249750.23444,0.0004344564,1.2804509555,0.0213530978
04-30-1976,9,390,0.2877616139,0.0008981578,0.0192045671,,0.0007181197,0.0000816671,0.0001614322,0.0014911495,0.0975081506,0.0161994527,0.0046019019,0.3559905509,0.0406533301,0.0565165189,0.0000282736,,8284606.3892,0.0002228431,1.4054354387,0.0353471942
05-31-1976,0,389,0.225213631,-0.001471192,0.0137434539,,0.0024508842,-0.000181323,0.0000235879,0.0084942763,-0.108375887,-0.000536836,-0.015737296,-0.202037635,-0.00522307,0.0592759876,0.0001458436,,1801.0865125,0.0018936402,0.9318597395,-0.006700781
05-31-1976,1,389,0.4380403702,0.0050471619,0.1310489403,,0.0019766989,-0.000014914,0.000145686,0.0083283232,-0.038237461,-0.003552955,-0.005616894,-0.288545917,0.0078536228,0.0751498936,0.0001303868,,3739.8365981,0.0014541929,1.1303762219,-0.011596616
05-31-1976,2,389,0.4882476923,0.0017033538,0.1158274276,,0.0019133894,0.0000141378,0.0001377652,0.0074861457,-0.019945256,-0.00357451,-0.000187101,-0.384810749,0.0107136874,0.0728437592,0.0001051554,,6572.7691108,0.0012455962,1.0470370894,-0.014854832
05-31-1976,3,389,0.5391603358,0.0017237324,0.1270904298,,0.0017090028,0.0000846914,0.0001799626,0.0067991158,0.0036361024,-0.00264304,0.0038983075,-0.504525234,0.0230487601,0.0987203323,0.0000943132,,10564.133395,0.0009472725,1.0109325058,-0.004904557
05-31-1976,4,389,0.532591354,0.0009293757,0.072743583,,0.0015670314,0.0000717282,0.00017915,0.0059183867,0.0226239509,-0.0041698,0.0023422137,0.0521389606,0.0228924429,0.0812661289,0.0000817578,,16852.272158,0.0007541729,1.177416812,-0.012360438
05-31-1976,5,388,0.5164669725,0.0007075813,0.052691046,,0.0014348347,0.0000955113,0.0001933571,0.0050822668,0.0508991418,0.0077467206,0.0058383987,-0.056550277,0.0245662261,0.0843888482,0.0000870476,,27921.759543,0.0007265727,1.4161689625,-0.013380218
