public_date,port_svar,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
05-31-1976,5,380,0.3549694261,0.0008197994,0.0589697714,-0.002095143,0.001033177,0.0000898992,0.0001756324,0.0032414746,0.0856483003,0.0122612984,0.0037784447,0.3676375506,0.0355466661,0.0891767545,0.0000455435,,865261.32432,0.0005794527,1.625553713,-0.029953948
05-31-1976,6,380,0.4047731841,0.0024538623,0.0151872433,-0.004204177,0.0012216473,0.0000759394,0.0001736802,0.0036829468,0.0817744394,0.0159013731,0.0019929898,0.0702385438,0.0249968672,0.0679928655,0.0000637202,,263104.68111,0.0007516507,1.7382741786,-0.029321624
05-31-1976,7,380,0.6927163756,0.0049003646,0.1090197646,-0.000580438,0.0011976182,0.0000695944,0.0001534637,0.0038092857,0.142744855,0.0065446515,0.0140463879,0.1172030229,0.0279648836,0.1078236557,0.0000610035,,199551.50475,0.0010365555,2.027127209,-0.021658155
05-31-1976,8,380,0.8143360249,0.0061659374,0.2474490467,,0.0012348326,0.0000409525,0.0001458087,0.0039928719,0.0283243636,-0.013574407,0.0041810289,0.0912555457,0.0204568104,0.1004129907,0.0000952475,,148560.51549,0.0014709656,1.9530623339,0.0040204983
05-31-1976,9,380,0.5976236208,-0.005590994,0.102899804,,0.0018476239,-0.000012011,0.0001559138,0.0085916418,0.001202902,0.0136641598,-0.009247736,-0.001671018,0.0118614854,0.1041286348,0.0001211301,,38948.267522,0.0031104009,1.8236284486,-0.019164215
06-30-1976,0,385,0.1849178629,-0.000139264,0.0290471219,,0.0008151808,0.0000975695,0.0001661353,0.0014636924,0.0915399765,0.03618527,0.0040359119,0.2122838397,0.036783006,0.0617402827,0.0000342008,,11584701.651,0.0000870187,1.0923181993,-0.007754388
06-30-1976,1,384,0.2402117189,-0.000819,0.0732790466,-0.00007783,0.0007278911,0.0000899905,0.0001476718,0.0015662087,0.1160887911,0.019706143,0.0063608231,0.3216583863,0.0433001981,0.0513563292,0.0000385134,,10656478.039,0.0001400572,1.5091222528,-0.000526689
06-30-1976,2,384,0.1537693011,0.000138181,0.0411012536,-0.005770164,0.0006757253,0.000079448,0.0001191507,0.0015630234,0.1258693547,0.022210401,0.0053183188,0.2631127966,0.0386381338,0.0558292184,0.0000283976,,3692743.7067,0.0002095968,1.4314156519,-0.015654487
06-30-1976,3,383,0.1750529352,0.0037538269,0.0389091585,-0.001336818,0.0007849047,0.0000949513,0.0001313465,0.0019554589,0.1137618047,0.0137854825,0.006815155,0.2216209029,0.0419719964,0.0670700454,0.0000328744,,830016.0067,0.0003022544,1.3827373661,-0.001779326
06-30-1976,4,474,0.2349812827,0.001385488,0.0545128703,-0.003268818,0.0008739073,0.0000931423,0.0001338416,0.0025392316,0.1071005816,0.0212885771,0.0069141962,0.2431684907,0.0365734387,0.0601047786,0.0000496889,,677642.06621,0.0003933166,1.7922390815,-0.004582716
06-30-1976,5,384,0.1584176259,-0.000684662,0.0429241508,-0.000426273,0.0009293085,0.0000924703,0.0001482251,0.0026178406,0.0815978653,0.0149119329,0.0041471203,0.2594673562,0.0363863489,0.0510925528,0.0000416393,,986624.15503,0.0005211351,1.9915954062,-0.002044743
06-30-1976,6,384,0.3851990814,0.0019875369,0.0900770905,-0.000949129,0.0010377571,0.0001022449,0.0001615144,0.0036497438,0.0873590922,0.002418484,0.0007332767,-0.502506645,0.0362166246,0.0939740854,0.0000657928,,320864.54673,0.000690148,1.9561848155,0.0098107229
06-30-1976,7,383,0.3735280437,0.0037241851,0.089095719,-0.008344444,0.0010218287,0.0000766784,0.0001549024,0.0030093538,0.1597578386,0.0141498422,0.0026787117,0.1191842503,0.0333462905,0.0775858834,0.0000491016,,219706.16597,0.0009246497,2.2088908693,0.0041135637
06-30-1976,8,385,0.4638722154,0.0017275608,0.1512708641,-0.001324284,0.0011854447,0.0000376859,0.0001468651,0.0041679554,0.125307714,0.0073776473,0.0065561953,-0.200507765,0.0230179931,0.0978621777,0.000090697,,94941.775694,0.0013399617,1.6844751769,-0.011513762
