public_date,port_beta,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
11-30-2017,0,325,0.6524516247,-0.000890832,-0.009140281,-0.000314758,0.000233885,-0.000019717,4.878865E-6,0.0003249499,0.3579942777,0.0667295187,0.0062942857,0.0709303735,-0.026275604,0.0961690329,9.2268293E-6,0.0443526796,25472004.201,0.000961251,-4.997232489,0.0173908868
11-30-2017,1,324,0.285701054,0.004829668,-0.056392479,-0.000255647,0.0002845568,0.0000150869,0.0000423857,0.0005573094,0.2257104096,0.015811964,0.0054568761,0.4901056971,0.0273745516,0.0345191864,0.0000145549,0.0426366829,214813024.43,0.0003808113,-2.520004047,0.0422178696
11-30-2017,2,324,0.3181449561,-0.003662556,0.0428138425,-0.000256999,0.0004455065,0.0000254293,0.0000610851,0.00063318,0.1216287135,0.0167494188,-0.000215632,0.2991683902,0.0272072946,0.1118591451,0.0000110033,0.0331564457,37250897,0.0002964139,-1.572591406,0.0007442713
11-30-2017,3,323,0.3450345153,0.0004054194,0.0138874046,0.0001916255,0.0004777616,0.0000497825,0.0000747783,0.0004989876,0.0938432366,-0.011422165,0.0032286914,0.5244824751,0.1049722335,0.100675473,9.4294824E-6,0.0299926192,135548662.84,0.0001791942,-0.948374769,0.0249970383
11-30-2017,4,473,0.29573437,0.0018053014,-0.003154335,-5.907906E-7,0.0002949301,0.0000373885,0.0000607578,0.0004161503,0.1137103724,-0.010969789,0.0074644749,0.4760712839,0.0778982937,0.0262765682,6.7196593E-6,0.0182226954,265382177.1,0.0001766867,-0.447224332,0.0311863922
11-30-2017,5,324,0.2899865321,0.0038198335,0.0723267409,-0.000047893,0.000312834,0.0000411725,0.0000676708,0.000526906,0.1362017532,-0.000696241,0.0081699319,0.4275053147,0.0661625538,0.0584040196,0.0000118614,0.0308075861,180472502.22,0.0001738331,-0.031927259,0.0527903829
11-30-2017,6,324,0.2580518366,-0.000131788,0.0088035337,-0.000070119,0.0003964484,0.0000355599,0.0000578009,0.0005755288,0.1012286561,0.0082973054,0.0010772065,0.3259696049,0.0332486062,0.0712052841,9.2437047E-6,0.0215357536,118680504.24,0.0001628685,0.3543805523,0.0253808692
11-30-2017,7,323,0.221019479,0.000329921,0.0716085744,-0.000138995,0.0003613721,0.0000426081,0.000076646,0.0005029657,0.0939893391,0.0026630194,0.0002774374,0.3955400082,0.0679059638,0.0534076813,0.0000140757,0.0205197819,129210622.17,0.0001644438,0.8276384598,0.0058443036
11-30-2017,8,325,0.1457044271,0.0038134615,-0.010992082,0.0001010532,0.0003355272,0.0000386749,0.0000606249,0.0005447058,0.0546927052,-0.008224325,-0.00783919,0.5328363607,0.0390692359,0.0090070387,0.0000144778,0.016491666,133512954.83,0.0001680378,1.4029409554,0.0329296848
11-30-2017,9,324,0.1815164921,0.0032911524,0.0450062597,-0.000107352,0.0006013053,0.000025064,0.0000737307,0.0005090641,0.1214402242,0.0255757806,-0.003192651,0.1848802949,0.0064884232,-0.009620178,0.0000288358,0.0323879313,20321375.785,0.0002440328,2.5447439554,0.0345065172
12-31-2017,0,323,0.5053184053,-0.00129289,0.00223801,0.0001035241,0.0002473826,-0.000019098,7.3577288E-6,0.0003580496,0.388115031,0.0744973834,0.0074322663,0.0540081181,-0.019718505,0.0063517792,0.0000102213,0.0422233965,26084026.025,0.0008875049,-4.893674765,-0.008490284
12-31-2017,1,322,0.3000734109,0.0048605082,-0.059554346,-0.000297518,0.0002858149,0.0000132187,0.0000423309,0.0005668668,0.3108888598,0.010146719,0.007409217,0.4929333026,0.0264053893,0.0013338528,0.0000142565,0.0425370232,212586432.76,0.0003917367,-2.470959847,0.0265610742
12-31-2017,2,322,0.2309953007,-0.002101685,0.078929539,-0.000277159,0.0004089133,0.0000330805,0.0000658782,0.0006517448,0.1147828689,0.0056537785,-0.008966996,0.5039850841,-0.065002538,0.0204954645,0.0000123277,0.0319466681,51000055.916,0.0002862742,-1.525685622,0.0322542061
12-31-2017,3,322,0.2333003144,0.0003208302,0.0062384333,0.0002185176,0.0004748369,0.0000483235,0.000073474,0.0004842753,0.1031676464,-0.003417023,0.0076096396,0.4003232236,0.0454449435,0.0241020515,9.1648308E-6,0.0291549291,136145856.6,0.0001777621,-0.926470312,0.0336167664
12-31-2017,4,467,0.2648107146,0.0003581976,-0.012565227,-0.000229501,0.0003151333,0.0000345176,0.0000611153,0.0004520729,0.1197077015,-0.007101244,0.007102707,0.4890342337,0.0912481805,0.0116920665,6.8517033E-6,0.0191254976,119120390.69,0.0001842217,-0.463713711,0.0207804857
12-31-2017,5,322,0.3280196796,0.0049074189,0.0544348119,0.0002746988,0.0002866397,0.000041793,0.0000639681,0.0004431829,0.1030717663,-0.01116216,0.0016614606,0.4440355093,0.0786557963,0.0240908948,8.6756403E-6,0.0237793214,324468515.23,0.0001715999,-0.061739327,0.0301082525
12-31-2017,6,322,0.2194851058,0.0010793523,0.0218599576,0.0000454618,0.0003965216,0.0000389783,0.0000651435,0.0006028015,0.1092006651,0.0048847126,0.0055821178,0.3451460005,0.0440960352,0.0157707133,0.0000153856,0.0246196186,125551091.55,0.0001629746,0.3738554366,0.0358551639
12-31-2017,7,322,0.1683651182,0.0003285403,0.0576563287,-0.000145755,0.0003416466,0.00004223,0.0000730524,0.0004848722,0.0898041802,-0.002278126,0.0028643427,0.4099037433,0.041160864,0.0284646866,0.0000128053,0.0194479685,131773418.23,0.0001509107,0.8566785164,0.055666744
12-31-2017,8,322,0.1783238115,0.0048865447,-0.000970342,0.0000521154,0.0003683583,0.0000415274,0.0000645974,0.0005851736,0.0595080832,-0.008822656,-0.010277678,0.4436071383,0.0546929054,0.0192058881,0.000013484,0.0164563667,134349088.71,0.0001817218,1.4430133136,0.0555981588
12-31-2017,9,323,0.2379087861,0.0038173528,0.0383809636,-0.00011509,0.0006572445,0.0000280992,0.0000805949,0.0005433674,0.1156045569,0.0279607401,-0.001521443,0.1799799635,0.056890407,0.0313571082,0.0000310578,0.0284335022,19337806.318,0.0002911618,2.5793806102,0.0543902801
01-31-2018,0,320,0.543218143,0.0062012942,-0.002371399,-0.000270193,0.0002060943,-0.00002851,-1.874132E-6,0.000355161,0.4224279331,0.0747534643,0.0086751628,0.0629761451,-0.018203536,0.0787080789,9.5964622E-6,0.0409685683,37146639.557,0.001009784,-5.368459069,0.0355087281
