public_date,port_svar,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
03-31-1976,8,381,0.1849735104,0.0956536717,0.155486076,0,0.0147171973,-0.139664924,-0.056892392,0.1098388355,-0.144244421,-0.037184598,0.001222861,-0.053578571,-0.097523817,0.215633616,-0.035943636,0,0.1340157059,0.692639424,0.1384318915,0.2802964539
03-31-1976,9,381,-0.055348708,0.0878175304,0.1999415671,0,-0.033339645,-0.305293954,-0.124813912,0.0779225535,-0.083675115,-0.125818374,-0.132696377,-0.078603085,-0.107326206,0.1633884675,0.0096846346,0,-0.210790063,0.883779882,0.0601151032,0.4626183977
04-30-1976,0,381,-0.172063107,-0.117976263,-0.100515974,0,-0.520213462,-0.238572614,0.0248216618,-0.629212039,0.2044861755,0.3334646314,0.0991316839,0.2013037207,0.2710357719,0.052727711,-0.11096509,0,0.9422171753,-0.880330812,0.0874234474,0.2074357068
04-30-1976,1,380,-0.20832314,0.0172831111,-0.08254356,0,-0.498583389,-0.249472399,-0.063408364,-0.490753802,0.2825100494,0.2645086473,-0.034175493,0.2047677931,0.2789159888,0.1790306376,-0.152161163,0,0.9268661122,-0.703700033,0.068838601,0.2195364424
04-30-1976,2,381,-0.146367917,0.016714969,-0.062405555,0,-0.408349412,-0.186409693,-0.108817383,-0.391126924,0.1771916211,0.2676061843,0.0527578213,0.0763066114,0.1978729873,0.203946101,-0.131527121,0,0.847406585,-0.50466881,0.0386975879,0.1191346691
04-30-1976,3,380,-0.028696499,0.0313796356,0.0120445901,0,-0.375054016,-0.114829483,-0.057874024,-0.291582601,0.1478374573,0.2233273636,0.043254308,0.1098391695,0.1398547915,0.1911488048,-0.038260252,0,0.7906845584,-0.305509996,0.1493361819,0.1395116964
04-30-1976,4,477,-0.104295893,-0.028393536,-0.079710571,0,-0.341681256,-0.081099485,-0.011090473,-0.308436577,0.0776424733,0.1062003531,-0.038635752,0.1889279518,0.2005120211,0.1342881013,-0.139527608,0,0.7077582246,-0.110130892,0.2291428749,-0.009391196
04-30-1976,5,380,0.0713474467,-0.027209895,0.0682283789,0,-0.144972721,-0.070770566,-0.065207446,-0.176394401,0.1846612713,0.1001245198,0.1265409739,0.0064494066,0.087743738,0.2885719325,-0.064680838,0,0.5570209586,0.0912499436,0.1390044056,0.0695184443
04-30-1976,6,380,0.084297631,0.0791175734,0.1176818025,0,-0.030229514,-0.137570475,-0.072937903,-0.031868658,0.034066882,0.0751123945,-0.077122737,0.0107144784,-0.041371683,0.0214005497,-0.047365273,0,0.4583835755,0.2918369081,0.1809626792,0.1591210436
04-30-1976,7,381,0.17419684,-0.003552081,0.0818773356,0,-0.077121567,-0.12378507,-0.043209871,-0.031681131,0.044528042,-0.071153844,0.0729871371,-0.024519692,0.0095960341,0.0202774555,-0.05745401,0,0.3311229321,0.4769867561,0.2066317429,0.1427635324
04-30-1976,8,380,0.2149093369,0.1598495611,0.2177800739,0,-0.070293708,-0.21496821,-0.07830565,0.0421808056,-0.076025305,-0.142932854,-0.034930915,-0.111073936,-0.128495382,0.058756161,-0.037176002,0,0.282972702,0.6827226241,0.0944575788,0.1842113681
04-30-1976,9,381,0.0570999766,0.1425012464,0.1748191677,0,0.0263096291,-0.163517406,-0.059891932,0.1762645719,-0.103349734,-0.062580991,-0.085481239,-0.065122936,-0.063851962,-0.074292548,0.029227977,0,-0.118959808,0.8795142123,0.0997690052,0.2842005561
05-31-1976,0,380,-0.118107153,-0.091123214,-0.100892756,0.0370455589,-0.491860037,-0.214977445,0.0486523213,-0.584174858,0.1899393846,0.4101761755,0.0407643823,0.19587836,0.2477240218,0.0029768558,-0.034207028,0,0.9370972043,-0.864489374,0.0836590682,0.1297462017
05-31-1976,1,380,-0.236746194,-0.03367608,-0.075989322,-0.008938319,-0.544808486,-0.301837956,-0.061548195,-0.557977924,0.3011217338,0.2732255934,-0.012580768,0.2258086426,0.3171386182,-0.039171368,-0.213482419,0,0.9288804876,-0.691980518,0.0988494079,0.1069385999
05-31-1976,2,380,-0.169176724,0.0908257539,-0.05738357,0.000834519,-0.401096754,-0.191021218,-0.10935836,-0.398967331,0.2196013154,0.2817541765,0.0284510333,0.1041411902,0.1750535751,0.0619072665,-0.133398597,0,0.8759070992,-0.516578032,0.0881428516,0.0955189128
05-31-1976,3,380,-0.104982502,0.0782543686,-0.014790991,0.003210811,-0.480111813,-0.171828672,-0.115730193,-0.38419371,0.2134179304,0.2568205257,0.0725740682,0.1129848889,0.2252720593,0.0500305562,-0.109176915,0,0.7929388728,-0.302381178,0.1196809951,0.0174300047
05-31-1976,4,469,-0.068691101,0.0216595812,0.0378361378,-0.005407255,-0.342234324,-0.138871876,-0.110913228,-0.303855338,0.0694724846,0.1852353083,0.048508112,0.101653102,0.1856429625,0.1027702908,-0.068773037,0,0.7171633161,-0.105013038,0.2548474548,-0.094878002
05-31-1976,5,380,-0.114174634,-0.011676013,-0.029657868,-0.001488636,-0.272044232,-0.118967815,-0.0349366,-0.223610231,0.0877826057,0.0716476163,-0.034356769,0.1741512426,0.1141144392,0.080866053,-0.147621398,0,0.6602390307,0.0975203571,0.1647284559,-0.136125885
05-31-1976,6,380,-0.034967423,0.033376381,-0.042729921,0.0054251155,-0.09817553,-0.144502965,-0.049460974,-0.113996227,0.0493053653,0.0913546253,-0.027279108,-0.006146729,-0.002801971,-0.021024775,-0.025063161,0,0.5312197721,0.2913236709,0.1648563259,-0.115129771
05-31-1976,7,380,0.2120221739,0.0956583363,0.081176625,-0.002087042,-0.097295393,-0.123274001,-0.067362267,-0.087720344,0.1385414085,-0.026415952,0.0870550873,-0.001153995,-0.031427544,0.1211540744,-0.146799372,0,0.3792402567,0.4967307807,0.233080318,-0.119045811
05-31-1976,8,380,0.2837254711,0.1334502164,0.2454727053,0,-0.136727898,-0.17920981,-0.064205705,-0.030662086,-0.10808589,-0.125101033,0.0249361281,-0.055557836,-0.014432404,0.0809940153,-0.017704316,0,0.2722512497,0.6833700615,0.2203787962,0.0253009259
05-31-1976,9,380,0.0865086136,-0.143611107,0.0649787456,0,0.0936236543,-0.117243259,-0.039136795,0.2084028934,-0.124198486,-0.024081877,-0.064890674,-0.076528581,-0.095359162,0.0118705906,0.0010525492,0,-0.071585212,0.8858234511,0.1495136804,-0.167845413
06-30-1976,0,385,-0.132407977,-0.059987472,-0.083377148,0,-0.430363447,-0.183821221,0.0216422781,-0.548717143,0.139352346,0.31494801,-0.065976598,0.2037544994,0.2208374718,0.0189174593,-0.063756593,0,0.9232667539,-0.868679413,-0.005233194,0.1375798888
06-30-1976,1,384,-0.04034035,-0.08478542,-0.001033168,0.1291394371,-0.499443394,-0.252127114,-0.101968188,-0.515856123,0.2301264889,0.2371743902,0.0928574433,0.2083366579,0.3631372461,-0.048683492,-0.064435362,0,0.9339156942,-0.723921113,0.1596728102,0.232993518
06-30-1976,2,384,-0.223895723,-0.030877474,-0.031717053,-0.001949558,-0.566381835,-0.342300937,-0.245425727,-0.528058389,0.1970482487,0.238254911,-0.005029232,0.2023020312,0.2464578194,-0.027082884,-0.199586636,0,0.9042036739,-0.520835509,0.1137241741,0.0598320247
06-30-1976,3,383,-0.186320799,0.1381290563,-0.014927492,0.000204751,-0.450730727,-0.209663865,-0.16690117,-0.417350741,0.1402573295,0.1757935759,0.0353151785,0.1275351235,0.2529839725,0.0281102389,-0.135940813,0,0.8046247195,-0.298065618,0.0724048868,0.1582352908
06-30-1976,4,474,-0.082049215,0.028269179,0.0021941373,-0.002952362,-0.378566702,-0.196830025,-0.162533795,-0.285859293,0.0699233184,0.1895834859,0.0504573746,0.1304322352,0.1862608684,-0.023006149,-0.043232764,0,0.7381927498,-0.101733651,0.1948521004,0.1098074906
06-30-1976,5,384,-0.218915715,-0.064391476,-0.097662813,0.0145643658,-0.333313493,-0.194364588,-0.069042475,-0.298504534,-0.003043797,0.1789131647,-0.041314117,0.1805483423,0.1620311737,-0.12523666,-0.169528735,0,0.6677907745,0.1033419915,0.2759194623,0.141511809
06-30-1976,6,384,-0.0185992,0.0200949776,0.0762384115,0.001334932,-0.227608251,-0.068538955,-0.058032444,-0.137870138,0.031086099,-0.018061188,-0.06374231,-0.044618829,0.1117689735,0.1179665571,-0.006205657,0,0.5511711514,0.2960679986,0.225231684,0.1912434612
