public_date,port_beta,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
03-31-1979,2,365,0.0050871811,0.0442792005,-0.073791732,-0.002739343,-0.057797666,0.0068961494,0.0788278174,-0.265329993,-0.06175386,0.076738878,-0.168801768,0.1011980028,-0.006730117,-0.03888641,0.0421659287,0,0.8077934321,-0.586184685,-0.505730768,0.0295997294
03-31-1979,3,365,-0.161818915,-0.008171856,-0.157037355,-0.000613294,-0.08965296,-0.019293857,0.084354021,-0.264677647,-0.066171777,0.0829411372,-0.194772186,0.0650755314,0.0051832237,-0.185275163,-0.040177189,0,0.788845413,-0.562589842,-0.289645103,0.0964827533
03-31-1979,4,559,-0.151101423,-0.024414539,-0.113715797,0,0.0304561342,-0.027504056,0.2671170555,-0.373007641,-0.125659402,0.3305812199,-0.277422681,-0.027164142,-0.033681433,-0.208229654,-0.013194414,0,0.8633761023,-0.651843608,-0.097669562,0.1008544455
03-31-1979,5,365,0.0346776374,-0.042739389,-0.088780178,0.1101048189,-0.424491897,-0.245155746,-0.195949726,-0.423508636,-0.103834563,-0.338086812,-0.211302299,0.3152702551,0.366650158,-0.27598382,-0.038161219,0,0.9073387542,-0.621685071,0.1410818641,-0.016788923
03-31-1979,6,365,-0.050880185,0.0287647142,-0.075961399,-0.007473832,-0.159188461,0.0110483683,-0.024926271,-0.150790346,0.0423686171,0.099424742,-0.134763335,0.1244965079,0.0857959971,-0.052401073,0.0980055688,0,0.8461103982,-0.507102229,0.3031352857,-0.017978446
03-31-1979,7,365,0.0842409992,0.0348164981,-0.038552155,0.0004183232,-0.382710952,-0.092987771,-0.018968263,-0.324116003,0.1259671709,-0.004183127,-0.077346126,0.3221175062,0.3459532857,-0.075314538,-0.154482988,0,0.87741903,-0.490057681,0.4962669557,-0.081706168
03-31-1979,8,365,0.1190560203,-0.009925312,0.0032357902,-0.002870908,-0.430337327,-0.233233407,-0.271227138,-0.424489822,0.1918124906,-0.063040503,0.0829281678,0.2416767325,0.356565701,-0.170107979,-0.121179624,0,0.7979237974,-0.27832621,0.6822618709,-0.017063492
03-31-1979,9,366,0.2809196134,-0.075597992,0.0979902385,0.001390681,-0.315012246,-0.174490129,-0.161801789,-0.264035573,0.1575642205,0.1141082923,0.1230148234,0.2044801014,0.1928066437,0.0714251656,-0.079166257,0,0.6047285429,-0.050373572,0.8826834829,-0.24547473
04-30-1979,0,366,0.0944500299,0.0525902092,0.0193034949,0.0046848534,-0.183223433,-0.162951482,-0.194786979,-0.272066817,0.0327720518,-0.150817079,-0.027983069,0.0519576375,0.15975878,-0.154449681,-0.03133272,0,0.4426324133,-0.205286611,-0.883306739,0.024539787
04-30-1979,1,366,0.0309749441,0.0333771541,-0.021765498,-0.000208128,-0.007513379,0.0950479163,0.1421130065,-0.237900343,-0.096234546,0.0992610717,-0.170529318,-0.039889024,0.0305205778,-0.074953448,-0.002662638,0,0.7339680916,-0.52505645,-0.692130785,-0.029383267
04-30-1979,2,365,0.0543664251,0.0621865803,-0.095982652,0.0015938897,-0.060278658,-0.014246917,0.0796085535,-0.276634666,-0.06385799,0.0533160214,-0.182746011,0.1073820729,-0.005413114,-0.036145146,0.020119961,0,0.8068216828,-0.554940813,-0.503307364,0.0374395318
04-30-1979,3,365,-0.091473777,-0.085172867,-0.077707255,-0.000536606,-0.006432252,0.0443137042,0.1204320217,-0.192702543,-0.080408949,0.0992846322,-0.192103474,-0.005677562,-0.003962524,-0.106714562,-0.042526773,0,0.7663549611,-0.492031728,-0.295994978,-0.117680061
04-30-1979,4,562,-0.021120107,-0.046643982,-0.029338013,0,0.0062103758,-0.018880261,0.2504684707,-0.370571888,-0.109464711,0.2943812673,-0.285073677,0.0136901655,0.0195727301,-0.026633667,-0.006108068,0,0.8677955305,-0.642143031,-0.101114947,-0.195353698
