public_date,port_me,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
03-31-1976,9,391,-0.068445208,-0.025486291,-0.069692994,0,-0.518130998,-0.248928437,-0.039155038,-0.542126528,0.2384723033,0.2986149178,0.0361255635,0.1803774114,0.2539075517,-0.180839311,-0.139997346,0,0.9554683419,-0.696487626,0.1160223431,-0.4862337
04-30-1976,0,391,-0.201136202,-0.025969172,-0.016935668,0,0.0987022339,-0.08581125,-0.053610996,0.0975740032,-0.051385298,-0.054171986,-0.034935571,-0.049090865,-0.092021523,-0.10038243,0.0940934212,0,-0.879118389,0.3554452821,-0.075724587,-0.057684396
04-30-1976,1,390,-0.043060119,0.0374232677,0.0152875363,0,0.14563285,-0.062959456,-0.018364963,0.1433909229,-0.077676315,-0.109624059,-0.042868817,-0.039657424,-0.100280416,-0.132681133,0.0390825331,0,-0.688849991,0.3163599793,-0.026761156,-0.087332164
04-30-1976,2,390,0.0152893005,0.0163898372,0.0747568378,0,0.1569611842,0.0064319168,0.0147661279,0.1887583896,-0.080334555,-0.14189922,-0.040942006,-0.042702892,-0.080639863,-0.073622458,0.0382794855,0,-0.491383891,0.2791988641,-0.036803119,-0.04451731
04-30-1976,3,389,0.1159274571,0.0283030344,0.0481501737,0,0.1347161564,0.0347771372,0.0117905895,0.1654427663,-0.074844492,-0.131742334,0.0022033535,-0.031919967,-0.044067853,-0.077775315,0.0199383654,0,-0.292339687,0.1732901856,-0.060210344,-0.083022922
04-30-1976,4,391,0.0662330292,-0.009377565,0.0016942766,0,0.0893710188,0.0264740336,0.0144521843,0.1486093815,-0.063019541,-0.113623725,-0.006466022,-0.028361139,-0.026131807,-0.048718565,0.0014471537,0,-0.092171795,0.1003301226,-0.007407229,0.0117959756
04-30-1976,5,390,0.1168811149,-0.007137555,0.0056829085,0,0.0572992916,0.0482016494,0.0444748995,0.1054428559,-0.031728808,-0.037939267,0.0138371844,-0.02239826,-0.018906666,0.0454752357,-0.002990703,0,0.1087164054,-0.00160882,0.0817083505,0.0318127033
04-30-1976,6,390,0.0411107539,-0.017416345,-0.019085711,0,0.004820307,0.0770744008,0.0106195714,-0.024086424,-0.008373512,-0.015227416,0.0381365265,0.0188594315,-0.001314332,0.0780309898,-0.049609815,0,0.309553219,-0.131858375,0.0291521393,0.0188891809
04-30-1976,7,389,0.0150591302,-0.004261447,-0.04169293,0,-0.048655488,0.0917980238,0.0329876176,-0.103003883,0.0435402111,0.056437178,-0.012768972,0.0471617019,0.0364882009,0.0826146629,-0.026249357,0,0.5118290491,-0.217231254,0.0454196886,0.0468399952
04-30-1976,8,391,-0.037871651,-0.007779786,-0.029655218,0,-0.253123444,0.0020831927,-0.011173479,-0.307515933,0.1701734816,0.2165993729,0.046991347,0.0626653974,0.1209634008,0.1024487101,-0.0600156,0,0.7172618401,-0.380430255,0.0313586393,0.0799517898
